group,ret_sec,rt,mz,intensity,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5
M80_R643_1,643.4154053,10.72,79.95836639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6422.155844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M83_R47_2,47.35506439,0.79,82.95378113,0,0,0,0,13100.89177,14455.79221,0,0,0,0,0,0,0,17444.41991,8351.350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M89_R47_3,47.36141205,0.79,89.02475739,5920.229437,0,23185.67532,9100.207792,9463.891775,11146.09524,15565.91342,0,0,0,10383.86147,0,0,0,0,11038.84416,14451.30736,0,7335.147186,8399.38961,8650.251082,0,15793.07792,13023.70996,18761.5368,16508.16883,14660.39394,15967.9697,13345.98701,29771.94372,18382.78788,0,17644.74026,18515.81385,5920.229437,10742.03896,12046.62338,11707.22944,0,0,0,0,13421.95238
M92_R521_4,521.26474,8.69,92.05038834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30594.11688,83814.12987,0,12349.09524,13265.63203,14241.47186,0,24918.74459,0,0,0,0,0,0,6661.121212,32443.62338,7219.398268,28718.05195,8392.012987,0,11386.03463,12025.55844,13095.06494,0,0,0,0,6756.406926
M93_R69_5,68.74703217,1.15,93.0447395,15092.34199,61470.19048,21629.23377,12282.4329,14713.09524,15240.27706,41794.30736,28771.4026,15773.12987,26227.57143,9227.597403,23290.4026,17979.83983,32154.70996,33999.49351,24867.62338,63856.20346,28943.62338,18805.12121,19702.78355,18703.81818,18688.93939,23541.37229,21792.45455,31608.5974,17826.06494,14455.31602,18100.17316,27359.24675,43317.93506,47079.95671,39055.71861,35299.37662,32507.64935,15092.34199,9772.588745,22435.71429,21911.4329,11145.99134,9594.229437,33631.53247,15132.91775,20479.12121
M94_R97_6,96.75633621,1.61,94.0295528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12121.12121,11906.29437,12748.25108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M95_R69_7,68.84990692,1.15,95.02439117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8435.242424,0,0,0,0,0,0,0,0,0
M96_R402_8,401.8885345,6.7,95.95146726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6936.424242,7019.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M97_R652_10,652.0435791,10.87,96.96050521,50674.23377,44612.09524,45115.74459,46404.93074,39138.92208,20934.11255,66919.46753,50780.22078,40978.52814,40091.14286,51226.40693,35317.5671,40093.40693,55398.62338,49277.88312,68371.70563,94297.85281,45124.69264,40765.23377,26275.77056,44872.51948,40448.03896,63166.01732,51886.11255,51839.24675,43436.48052,48388.78788,47818.88745,65297.54978,57985.05628,62685.87446,43329.13853,66344.97835,60107.37662,50674.23377,55196.671,56726.86147,51267.01732,44701.25108,35778.31602,60470.45022,0,47824.0303
M97_R44_11,44.32238007,0.74,96.96051788,24138.86147,16894.04762,10240.83983,7994.601732,10483.28571,12458.91775,9189.95671,14905.42857,14920.09957,34273.90909,15662.38961,20263.51082,10557.85714,20805.98268,0,10945.45887,19505.52814,8348.264069,7485.571429,0,10644.52381,8041.774892,0,0,8849.787879,57106.20779,42767.80952,0,10211.42424,0,59537.45022,0,12478.71861,14670.60173,24138.86147,37604.23377,51465.25108,47819.25108,10217.12121,9239.748918,6001.796537,10975.67532,34610.98268
