mz,rt,group,CMP,intensity,annotation,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5,neutral_mass,cmp_ppm,size,intensity_rel,isogroup,isonr,charge,adduct_ion,ppm
79.95836639,643,M80_R643_1,CMP1258,4376,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871.5431,30,3,42.62541041,NA,NA,NA,NA,NA
82.95378113,47,M83_R47_2,NA,0,none,0,0,0,13101,14456,0,0,0,0,0,0,0,17444,8351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
89.02475739,47,M89_R47_3,NA,0,none,0,23186,9100,9464,11146,15566,0,0,0,10384,0,0,0,0,11039,14451,0,7335,8399,8650,0,15793,13024,18762,16508,14660,15968,13346,29772,18383,0,17645,18516,5920,10742,12047,11707,0,0,0,0,13422,NA,NA,NA,NA,NA,NA,NA,NA,NA
92.05038834,521,M92_R521_4,CMP631,32207,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30594,83814,0,12349,13266,14241,0,24919,0,0,0,0,0,0,6661,32444,7219,28718,8392,0,11386,12026,13095,0,0,0,0,6756,212.0934,3.62,5,21.72837837,NA,NA,NA,NA,NA
93.0447395,69,M93_R69_5,NA,0,none,61470,21629,12282,14713,15240,41794,28771,15773,26228,9228,23290,17980,32155,33999,24868,63856,28944,18805,19703,18704,18689,23541,21792,31609,17826,14455,18100,27359,43318,47080,39056,35299,32508,15092,9773,22436,21911,11146,9594,33632,15133,20479,NA,NA,NA,NA,NA,NA,NA,NA,NA
94.0295528,97,M94_R97_6,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12121,11906,12748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.02439117,69,M95_R69_7,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8435,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.95146726,402,M96_R402_8,CMP167,5289,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6936,7019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.096,26.95,9,0.477582158,NA,NA,NA,NA,NA
96.96054077,752,M97_R752_9,CMP257,22594,none,16392,26360,17064,17405,17891,25527,20403,16923,19362,16163,12077,20185,25632,23168,20821,25230,13183,16512,18486,9073,17079,8114,9464,10297,10431,11697,10774,24728,17162,15647,12866,13426,10289,13048,16679,17626,19312,19011,13784,23727,13440,20194,295.19,NA,8,2.676417369,NA,NA,NA,NA,NA
96.96050521,652,M97_R652_10,CMP159,71362,none,44612,45116,46405,39139,20934,66919,50780,40979,40091,51226,35318,40093,55399,49278,68372,94298,45125,40765,26276,44873,40448,63166,51886,51839,43436,48389,47819,65298,57985,62686,43329,66345,60107,50674,55197,56727,51267,44701,35778,60470,0,47824,266.2886,NA,9,27.27996424,NA,NA,NA,NA,NA
