mz,rt,intensity,CCS,Compound,NeutralFormula,CAS,SuperClass,Class,Subclass
685.0673,685,8578,217.2,Nicotinamide Hypoxanthine Dinucleotide,C21H26N6O15P2,104809-38-3,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
663.0855,1072,9041,217.7,Nicotinamide Hypoxanthine Dinucleotide,C21H26N6O15P2,104809-38-3,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
665.0966,817,1370,221.4,Nicotinamide Hypoxanthine Dinucleotide,C21H26N6O15P2,1851-07-6,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
687.0784,271,6839,230.5,Nicotinamide Hypoxanthine Dinucleotide,C21H26N6O15P2,1851-07-6,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
744.0837,963,9364,246.7,NADPH,C21H30N7O17P3,2646-71-1,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
746.0989,1287,12418,232.4,NADPH,C21H30N7O17P3,2646-71-1,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
684.0861,464,4833,230.6,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,53-84-9,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
662.107,705,6683,225.2,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,53-84-9,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
664.1143,1728,587,227.7,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,53-84-9,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
686.0963,940,2167,223.5,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,53-84-9,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
743.0539,1485,3267,230.5,Nicotinic Acid Adenine Dinucleotide Phosphate,C21H27N6O18P3,5502-96-5,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
745.0614,1140,14699,230.8,Nicotinic Acid Adenine Dinucleotide Phosphate,C21H27N6O18P3,5502-96-5,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
760.0788,283,1878,243.9,NADP,C21H28N7O17P3,698999-85-8,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
764.0518,270,5201,231.6,NADP,C21H28N7O17P3,698999-85-8,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
742.0697,900,13749,230.7,NADP,C21H28N7O17P3,698999-85-8,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
744.0791,1155,5585,232.7,NADP,C21H28N7O17P3,698999-85-8,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
782.026,340,3911,242.9,NADP,C21H28N7O17P3,698999-85-8,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
766.0609,1616,10915,241.1,NADP,C21H28N7O17P3,698999-85-8,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
662.1013,1505,8457,226.4,alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae,C21H27N7O14P2,7298-93-3,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
664.1169,999,13133,240.4,alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae,C21H27N7O14P2,7298-93-3,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
686.0989,433,261,233.2,alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae,C21H27N7O14P2,7298-93-3,"Nucleosides, nucleotides, and analogues",(5'-5')-dinucleotides,
405.0962,909,2664,180.1,(S)-Adenosyl-L-homocysteine,C14H20N6O5S,979-92-0,"Nucleosides, nucleotides, and analogues","1,2-Dipalmitoleoyl-sn-glycero-3-phosphoethanolamine",5'-deoxy-5'-thionucleosides
298.0974,561,10217,162,5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
296.0817,523,11870,168.3,5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
298.0992,1168,663,171,5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
320.0793,184,11314,173.5,5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
399.1451,954,9703,185.6,(S)-Adenosyl-L-methionine,C15H22N6O5S,29908-03-0,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
383.1152,554,3975,186.4,(S)-Adenosyl-L-homocysteine,C14H20N6O5S,979-92-0,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
385.1274,1313,10645,183,(S)-Adenosyl-L-homocysteine,C14H20N6O5S,979-92-0,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
407.1089,933,2281,189.3,(S)-Adenosyl-L-homocysteine,C14H20N6O5S,979-92-0,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
250.0947,1460,8962,154.9,5'-Deoxyadenosine,C10H13N5O3,4754-39-6,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,
252.108,1308,8982,159.6,5'-Deoxyadenosine,C10H13N5O3,4754-39-6,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,
252.108,515,9863,152.3,5'-Deoxyadenosine,C10H13N5O3,4754-39-6,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,
274.0895,1461,9959,168,5'-Deoxyadenosine,C10H13N5O3,4754-39-6,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,
153.0704,1042,12480,124.2,Acenaphthylene,C12H8,208-96-8,Benzenoids,Acenaphthylenes,
152.0626,1065,9177,123.3,Acenaphthylene,C12H8,208-96-8,Benzenoids,Acenaphthylenes,
692.5038,1630,14698,167.5,Cs(CsI)(NaI)2 or Na(CsI)2(NaI),Cs2Na2I3,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1142.1866,1340,8854,204.3,Cs(CsI)(NaI)5,Cs2Na5I6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1441.9751,404,534,234.2,Cs(CsI)(NaI)7 or Na(CsI)2(NaI)6,Cs2Na7I8,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1591.8693,644,2260,242.3,Cs(CsI)(NaI)8 or Na(CsI)2(NaI)7,Cs2Na8I9,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
392.7153,1147,9966,129.4,Cs(CsI)1,Cs2I,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
2731.0045,1702,9719,282.1,Cs(CsI)10,Cs11I10,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
652.5253,157,13001,152.8,Cs(CsI)2,Cs3I2,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
952.3137,495,13313,186.4,Cs(CsI)2(NaI)2 or Na(CsI)3(NaI),Cs3Na2I4,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1102.208,261,3677,200.7,Cs(CsI)2(NaI)3 or Na(CsI)3(NaI)2,Cs3Na3I5,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1252.1022,951,10706,207.3,Cs(CsI)2(NaI)4 or Na(CsI)3(NaI)3,Cs3Na4I6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1401.9965,1697,1196,222.7,Cs(CsI)2(NaI)5 or Na(CsI)3(NaI)4,Cs3Na5I7,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1551.8907,1333,8580,237.7,Cs(CsI)2(NaI)6 or Na(CsI)3(NaI)5,Cs3Na6I8,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
912.3352,1429,3906,173.8,Cs(CsI)3,Cs4I3,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1212.1237,546,2242,203.8,Cs(CsI)3(NaI)2 or Na(CsI)4(NaI),Cs4Na2I5,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1362.0179,1557,13164,211.3,Cs(CsI)3(NaI)3 or Na(CsI)4(NaI)2,Cs4Na3I6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1172.1451,182,13793,199.3,Cs(CsI)4,Cs5I4,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1471.9336,176,9986,214,Cs(CsI)4(NaI)2 or Na(CsI)5(NaI),Cs5Na2I6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1621.8278,666,12383,230.5,Cs(CsI)4(NaI)3 or Na(CsI)5(NaI)2,Cs5Na3I7,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1431.955,1101,14108,213.3,Cs(CsI)5,Cs6I5,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1691.7649,747,11447,223.5,Cs(CsI)6,Cs7I6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1951.5748,917,9688,242.4,Cs(CsI)7,Cs8I7,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
2211.3847,706,2027,256.1,Cs(CsI)8,Cs9I8,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
2471.1946,970,3502,267.4,Cs(CsI)9,Cs10I9,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
582.5882,397,7108,164.6,Cs(NaI)3 or Na(CsI)(NaI)2,CsNa3I3,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
732.4824,1446,13426,165.6,Cs(NaI)4 or Na(CsI)(NaI)3,CsNa4I4,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
