mz,rt,intensity,Formula
64.0125,1,715,C2H2F2
99.9936,1,702,C2F4
108.0187,1,226,C4H3F3
114.0292,1,819,C3H5F3O
115.9641,1,876,C2ClF3
131.9998,1,229,C3HF5
138.0351,1,196,C4H10O3S
149.9904,1,818,C3F6
150.0104,1,168,C3H3F5O
158.0355,1,828,C5H6F4O
159.9135,1,645,C2BrF3
161.9904,1,822,C4F6
161.9904,1,304,C4F6
164.0061,1,630,C4H2F6
165.9853,1,449,C3F6O
165.9853,1,502,C3F6O
165.9853,1,984,C3F6O
168.0398,1,121,C6H7F3O2
174.9836,1,836,C6H3ClFNO2
176.0061,1,737,C5H2F6
177.9911,1,882,C3H5F3O3S
179.9846,1,371,C3HF5O3
180.0032,1,946,C4H5F5S
182.0166,1,824,C4H4F6O
182.0555,1,458,C7H9F3O2
184.0123,1,687,C4H3F7
185.9916,1,572,C3HF7O
187.9872,1,501,C3F8
193.9861,1,807,C3H5F3O4S
193.9956,1,150,C3H6F3O4P
193.9966,1,509,C5HF7
193.9966,1,797,C5HF7
193.9966,1,100,C5HF7
194.9919,1,419,C4F7N
194.9919,1,871,C4F7N
196.0123,1,983,C5H3F7
196.0123,1,704,C5H3F7
196.0123,1,175,C5H3F7
196.0123,1,686,C5H3F7
197.9916,1,276,C4HF7O
198.0279,1,459,C5H5F7
199.0232,1,367,C4H4F7N
199.0232,1,685,C4H4F7N
199.9872,1,411,C4F8
199.9872,1,611,C4F8
199.9872,1,464,C4F8
200.0072,1,450,C4H3F7O
200.0072,1,120,C4H3F7O
200.0072,1,674,C4H3F7O
202.0029,1,171,C4H2F8
202.0275,1,909,C6H9F3O2S
203.9577,1,482,C3ClF7
205.9354,1,150,C4H3BrF4
208.0323,1,226,C6H6F6O
210.0279,1,754,C6H5F7
211.9872,1,960,C5F8
211.9872,1,959,C5F8
212.0072,1,630,C5H3F7O
212.0072,1,583,C5H3F7O
212.0072,1,770,C5H3F7O
212.0072,1,863,C5H3F7O
212.0072,1,878,C5H3F7O
212.0072,1,281,C5H3F7O
212.0184,1,550,C4H3F7N2
212.0272,1,895,C5H6F6O2
212.0436,1,162,C6H7F7
213.0025,1,556,C4H2F7NO
213.0025,1,139,C4H2F7NO
213.0388,1,237,C5H6F7N
213.0388,1,562,C5H6F7N
213.0388,1,436,C5H6F7N
