mz,intensity,rt,group
82.9544,85038,48,M83_R48_2
89.0248,462432,48,M89_R48_5
92.0504,394020,551,M92_R551_6
93.045,1473101,69,M93_R69_7
94.0296,53248,109,M94_R109_8
96.9605,793344,713,M97_R713_11
96.9606,956191,45,M97_R45_12
96.9605,297453,447,M97_R447_13
98.9488,993546,52,M99_R52_15
100.9464,249636,51,M101_R51_18
100.961,10123,753,M101_R753_19
107.0373,38571,133,M107_R133_26
108.0223,174026,363,M108_R363_27
108.0459,10707,212,M108_R212_28
108.046,12702,530,M108_R530_29
109.0291,12589,209,M109_R209_30
109.04,102189,78,M109_R78_31
110.9763,29770,48,M111_R48_32
111.9475,537483,678,M112_R678_35
111.9476,73819,437,M112_R437_36
112.9855,10175,49,M113_R49_37
114.9349,105097,1171,M115_R1171_38
117.0193,170158,49,M117_R49_42
117.0345,206284,661,M117_R661_43
117.0449,59075,198,M117_R198_44
117.929,702835,1174,M118_R1174_45
118.0406,51180,71,M118_R71_46
118.0401,32173,192,M118_R192_47
118.9244,113504,56,M119_R56_53
119.0499,433241,156,M119_R156_54
119.05,208302,597,M119_R597_55
119.05,1112807,54,M119_R54_56
120.0529,21513,176,M120_R176_60
120.0528,41277,54,M120_R54_61
121.0289,5801452,233,M121_R233_64
122.0245,13281,151,M122_R151_66
122.0332,123529,233,M122_R233_67
122.0375,40194,457,M122_R457_68
122.969,4091431,705,M123_R705_70
122.9689,218341,67,M123_R67_71
122.9693,9594495,1143,M123_R1143_72
122.9688,2479425,450,M123_R450_73
122.9687,1383676,245,M123_R245_74
123.9686,362811,1141,M124_R1141_77
123.9684,40355,695,M124_R695_78
124.9662,96143,1142,M125_R1142_82
124.9914,35834,51,M125_R51_85
125.0605,41414,52,M125_R52_86
125.0968,392345,252,M125_R252_87
126.0121,23892,751,M126_R751_88
126.9043,80325,51,M127_R51_89
127.0765,46518,53,M127_R53_92
128.0355,455023,47,M128_R47_95
129.0555,70269,54,M129_R54_97
130.0876,1075701,71,M130_R71_98
131.0349,66846,51,M131_R51_100
131.0708,14316,124,M131_R124_102
133.0287,562591,842,M133_R842_106
133.0284,20061,617,M133_R617_107
134.0245,126294,531,M134_R531_110
134.0248,10454,143,M134_R143_111
134.0252,17013,739,M134_R739_112
134.8939,581003,1135,M135_R1135_115
135.0316,13996,62,M135_R62_117
135.0454,1470670,265,M135_R265_118
135.0451,17534,105,M135_R105_119
136.0158,263757,279,M136_R279_120
136.04,39440,228,M136_R228_121
136.8913,118699,1142,M137_R1142_123
137.0236,58146,294,M137_R294_124
137.0341,6923072,70,M137_R70_125
137.0241,2185353,183,M137_R183_126
138.0197,8795993,365,M138_R365_128
138.0271,59798,82,M138_R82_129
138.027,89473,170,M138_R170_130
138.0385,112945,53,M138_R53_131
138.2053,33499,364,M138_R364_132
139.0223,305803,357,M139_R357_133
141.0916,202936,181,M141_R181_136
141.0918,40758,54,M141_R54_137
141.1283,61075,434,M141_R434_138
143.0711,62137,82,M143_R82_143
143.107,13383,388,M143_R388_144
143.1076,257976,544,M143_R544_145
143.1079,76290,305,M143_R305_146
144.045,690081,176,M144_R176_147
144.0449,1838243,336,M144_R336_148
144.9657,14366,59,M145_R59_150
145.0301,12840,633,M145_R633_152
145.0499,2276617,53,M145_R53_153
145.0499,1958547,849,M145_R849_154
145.0487,37277,323,M145_R323_155
145.0865,1907466,203,M145_R203_156
146.0248,7886879,250,M146_R250_157
146.0537,11394,52,M146_R52_158
146.0896,23314,214,M146_R214_160
147.0282,424185,249,M147_R249_161
147.0443,489053,328,M147_R328_162
148.9523,14432,51,M149_R51_167
149.0247,26040,843,M149_R843_168
150.0012,5680795,384,M150_R384_172
150.0311,24428,230,M150_R230_173
150.0557,1126016,128,M150_R128_174
150.2496,18992,141,M150_R141_175
151.0036,127092,385,M151_R385_178
151.0398,588235,260,M151_R260_179
151.04,5245416,364,M151_R364_180
151.0392,1107488,843,M151_R843_181
151.0589,113880,133,M151_R133_182
151.0864,89488,227,M151_R227_185
151.235,22095,352,M151_R352_186
151.9979,19477,387,M152_R387_187
152.0115,92627,54,M152_R54_188
152.0362,515291,229,M152_R229_190
152.0345,2452828,453,M152_R453_191
152.0431,243589,353,M152_R353_192
153.0066,45325,392,M153_R392_196
153.0184,78386,53,M153_R53_197
153.0201,17511,238,M153_R238_198
153.0182,33230,461,M153_R461_199
153.0382,180425,457,M153_R457_200
153.0917,76880,463,M153_R463_203
153.0913,22820,261,M153_R261_204
154.0142,130137,288,M154_R288_205
155.0713,32259,254,M155_R254_207
155.1068,61748,212,M155_R212_208
157.005,11224,380,M157_R380_209
157.0106,25549,49,M157_R49_210
157.0508,325388,53,M157_R53_211
157.0868,502494,237,M157_R237_212
157.0873,512571,909,M157_R909_213
157.1228,1528079,598,M157_R598_214
157.1232,496011,923,M157_R923_215
158.082,50825,52,M158_R52_218
158.0903,30743,949,M158_R949_219
159.0663,2094174,58,M159_R58_221
159.1026,2612892,246,M159_R246_222
159.972,2461111,791,M160_R791_223
160.0692,10741,52,M160_R52_224
160.075,77868,792,M160_R792_225
160.9753,133658,791,M161_R791_229
161.0353,903263,461,M161_R461_230
161.0245,225036,268,M161_R268_231
